uuid,x,y,date,season,rained,planted
36c0532e,26.953,-16.487,2015-11-29,1,0,NA
37ef5507,27.016,-16.932,2015-11-29,1,1,NA
381e38ea,27.293,-16.744,2015-11-29,1,0,0
3a0b6560,27.285,-16.748,2015-11-29,1,0,NA
3b3d1539,26.857,-16.193,2015-11-29,1,1,NA
3b5c58da,26.938,-16.515,2015-11-29,1,1,0
3c0a7255,27.28,-16.872,2015-11-29,1,1,0
3e3c2a80,26.971,-16.753,2015-11-29,1,1,0
41066075,26.899,-16.193,2015-11-29,1,1,NA
4285ad8d,26.808,-16.835,2015-11-29,1,1,0
4589580c,26.812,-16.601,2015-11-29,1,0,0
46fa47e5,26.93,-17.054,2015-11-29,1,1,NA
48b2c57f,26.781,-16.849,2015-11-29,1,1,NA
48c828d0,27.265,-16.921,2015-11-29,1,0,NA
4932fac2,26.81,-16.607,2015-11-29,1,0,NA
496c557b,27.297,-16.935,2015-11-29,1,1,NA
4ae722c5,27.298,-16.93,2015-11-29,1,0,NA
4bc9a120,27.183,-16.915,2015-11-29,1,1,NA
4d524878,27.032,-16.961,2015-11-29,1,0,NA
4e8f7c6c,26.98,-16.918,2015-11-29,1,0,NA
4ea9a204,27.09,-16.944,2015-11-29,1,1,NA
4f75193d,26.961,-16.727,2015-11-29,1,0,NA
5127de85,27.287,-16.874,2015-11-29,1,1,NA
51d50f10,26.983,-16.765,2015-11-29,1,1,NA
544b43d4,27.123,-16.923,2015-11-29,1,0,NA
561a6a5d,27.08,-16.972,2015-11-29,1,1,NA
569a6897,26.984,-16.944,2015-11-29,1,1,NA
5769b555,27.336,-16.834,2015-11-29,1,0,NA
5b732fcd,26.85,-16.216,2015-11-29,1,1,0
5c093270,27.255,-16.908,2015-11-29,1,0,NA
5e0473ca,26.821,-16.604,2015-11-29,1,0,NA
5e65fc11,27.094,-16.89,2015-11-29,1,1,NA
5ed6fa13,27.039,-16.842,2015-11-29,1,1,0
5fa80769,27.064,-16.986,2015-11-29,1,1,NA
60734a06,26.989,-16.83,2015-11-29,1,1,NA
61228b69,26.802,-16.832,2015-11-29,1,0,NA
6276c250,26.891,-16.194,2015-11-29,1,1,0
65d21910,26.896,-16.275,2015-11-29,1,1,NA
66e41828,26.804,-16.854,2015-11-29,1,1,0
6b04c587,27.056,-16.905,2015-11-29,1,1,NA
6be46cee,26.967,-16.821,2015-11-29,1,0,NA
6d774598,26.913,-16.25,2015-11-29,1,1,NA
6dfd9cdf,27.301,-16.816,2015-11-29,1,1,0
6e508c11,27.236,-16.732,2015-11-29,1,0,NA
703825ba,26.788,-16.876,2015-11-29,1,1,NA
70b5f403,27.037,-16.954,2015-11-29,1,0,NA
718d866e,26.859,-16.178,2015-11-29,1,1,NA
730b727a,27.056,-16.934,2015-11-29,1,0,NA
732af424,26.833,-16.818,2015-11-29,1,1,NA
73735711,27.297,-16.75,2015-11-29,1,0,NA
748a4af0,26.814,-16.612,2015-11-29,1,1,NA
74ccfcac,26.899,-16.856,2015-11-29,1,1,NA
75bee886,27.086,-16.783,2015-11-29,1,0,0
760b8688,27.015,-16.905,2015-11-29,1,1,NA
770da037,26.833,-16.817,2015-11-29,1,1,NA
776d8240,26.863,-16.594,2015-11-29,1,1,0
78284b9d,26.995,-16.972,2015-11-29,1,1,NA
784cfe86,26.984,-16.944,2015-11-29,1,1,0
7b418746,26.971,-16.554,2015-11-29,1,0,NA
7c62ae6a,26.94,-16.727,2015-11-29,1,1,NA
7da072ff,27.066,-16.944,2015-11-29,1,0,NA
7de10584,27.338,-16.799,2015-11-29,1,0,NA
7ed0ad89,26.958,-16.547,2015-11-29,1,0,NA
7eed2695,26.923,-17.049,2015-11-29,1,1,NA
7f9ab0f7,27.094,-16.976,2015-11-29,1,0,NA
814ca378,27.061,-17.004,2015-11-29,1,0,NA
85f03621,26.938,-16.513,2015-11-29,1,0,0
88462901,26.881,-16.597,2015-11-29,1,1,0
898e8a07,26.961,-16.921,2015-11-29,1,0,NA
8bae7654,27.04,-16.842,2015-11-29,1,0,NA
8d130d52,26.874,-16.252,2015-11-29,1,1,NA
8f709944,26.865,-16.599,2015-11-29,1,1,NA
91332f7e,27.293,-16.745,2015-11-29,1,1,NA
9195ad7e,26.955,-16.913,2015-11-29,1,1,0
926caf97,26.869,-16.61,2015-11-29,1,1,NA
96b6d097,26.995,-16.953,2015-11-29,1,1,NA
97ad1f89,26.862,-16.674,2015-11-29,1,1,NA
99dc8db6,27.182,-16.917,2015-11-29,1,0,0
9ad19ac7,26.901,-16.267,2015-11-29,1,1,NA
9c5f30d9,26.863,-16.62,2015-11-29,1,0,NA
a3016253,27.299,-16.753,2015-11-29,1,1,0
a50d4f55,27.016,-16.932,2015-11-29,1,1,NA
a62be645,26.863,-16.595,2015-11-29,1,1,0
a8edaee8,26.98,-16.916,2015-11-29,1,0,0
a914f6e1,26.788,-16.863,2015-11-29,1,1,0
aa5f0d29,26.951,-16.727,2015-11-29,1,1,NA
ab4888cd,26.772,-16.86,2015-11-29,1,1,NA
abd530e7,26.981,-16.762,2015-11-29,1,1,NA
ae3e29b7,26.977,-16.819,2015-11-29,1,1,0
af430afb,27.304,-16.793,2015-11-29,1,1,0
afaecd2e,27.305,-16.793,2015-11-29,1,0,0
b097b7db,26.803,-16.553,2015-11-29,1,1,NA
b0e82f78,27.339,-16.834,2015-11-29,1,0,0
